Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
251,1.071812684,-0.249927203,0.189825005,0.19110892,-0.615778945,-1.074104296,0.213633076,-0.322513461,0.046084009,-0.192352281,-0.145525136,0.57166102,0.891624283,0.108958561,0.977413551,0.209149364,-0.34836972,-0.459603714,-0.087733531,0.214073657,0.095917506,0.089348763,-0.159514355,0.487008617,0.365901029,1.0560726,-0.101425335,0.022797105,120,0
311,1.182238087,-0.14751846,1.248518326,0.862034219,-1.07672806,-0.299690186,-0.614840318,0.064575126,0.907341201,-0.244553773,-0.705757309,0.523097925,0.199032721,-0.437901947,0.18282428,0.155471836,-0.183113546,-0.254955281,-0.041502453,-0.091273065,-0.090194351,-0.057345525,0.030120976,0.438310381,0.259808056,0.315895535,0.017962001,0.027611165,8.58,0
406,-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0,1
472,-3.043540624,-3.157307121,1.08846278,2.288643618,1.35980513,-1.064822523,0.325574266,-0.067793653,-0.270952836,-0.838586565,-0.414575448,-0.50314086,0.676501545,-1.692028933,2.000634839,0.666779696,0.599717414,1.725321007,0.28334483,2.102338793,0.661695925,0.435477209,1.375965743,-0.293803153,0.279798032,-0.145361715,-0.252773123,0.035764225,529,1
2557,-0.628457579,0.695313891,2.580943168,0.819375146,-0.174091347,0.217121757,0.157114341,0.064316922,0.363432024,-0.081481059,-1.233916714,-0.654634931,-0.568792981,-0.444508427,1.002745756,-0.056771731,-0.346309938,0.683475888,0.626146048,0.260316192,0.048773729,0.529878659,-0.443261308,-0.112979721,0.422308193,-0.102192816,0.199297897,-0.076206481,5.26,0
3002,-0.30252069,0.447473606,-0.495757488,-3.214799282,2.705041053,2.762439585,0.593846555,0.556451026,0.697719596,-1.090180906,-0.111087964,0.062652347,-0.238457031,0.215738139,1.069355893,-0.255230525,-1.072084985,0.485110432,0.271314885,0.156089011,0.007342803,0.250885695,-0.331599689,1.00995228,0.23373018,-0.824470557,0.241305213,-0.020358638,1,0
3413,-0.488693656,0.548171848,1.064844381,-2.246246826,0.58152027,-0.243598276,0.899128386,-0.004685069,0.600290845,-1.062999686,1.771288679,0.966220339,-0.569926309,0.379085283,0.714489662,-0.964876637,-0.244954419,-0.340508116,-0.534558487,-0.037556496,0.16565562,0.880273221,-0.245339598,-0.287470419,-0.112286929,-0.796867446,0.266747914,-0.031131684,1,0
4462,-2.303349568,1.75924746,-0.359744743,2.330243051,-0.821628328,-0.075787571,0.562319782,-0.399146578,-0.238253368,-1.525411627,2.032912158,-6.560124295,0.022937323,-1.470101536,-0.698826069,-2.282193829,-4.781830856,-2.615664945,-1.334441067,-0.430021867,-0.294166318,-0.932391057,0.172726296,-0.087329538,-0.156114265,-0.542627889,0.039565989,-0.153028797,239.93,1
4480,-0.239635396,1.008592821,1.977233217,1.066619965,0.201835811,-0.338452187,0.672981375,-0.244371902,0.920743675,-0.441015971,0.900421718,-3.020371307,0.644397625,1.746161827,0.765173806,-0.6595195,0.856276702,-0.099314436,-0.224220857,-0.074541898,-0.105022885,0.141641363,-0.090261196,0.313507048,-0.443430679,-0.470998975,-0.016475818,-0.081031783,2.5,0
4654,-1.346942273,-0.198846529,2.570935417,-0.651882933,-0.160020628,1.809261632,0.339692516,0.553286324,1.57071547,-1.951708324,1.335791628,-1.368324366,2.238296316,0.727587611,-0.596224239,-1.394208928,1.948433996,-2.346620424,-1.885143983,0.22214317,-0.069428978,0.054123998,0.379468249,-0.618573092,-0.135838423,0.929584535,-0.030397074,0.055164223,181.37,0
4910,-0.502118883,0.756414781,2.687769776,1.469198013,-0.56145061,0.00075239,0.236501761,0.057790001,1.813353463,-1.204903383,0.004339843,-1.413905578,1.865975556,0.488360003,-3.068833053,-1.196553092,1.391580711,-0.691010201,0.294758958,-0.122632138,-0.428173691,-0.554129969,0.054045363,0.863721464,-0.353225722,-0.70577931,0.180479251,0.161001392,18.98,0
